date,store_id,sales,is_holiday,promotion,day_of_week,month,quarter,year,is_weekend
2020-01-01,1,1572.77,True,0,2,1,1,2020,False
2020-01-02,1,925.32,False,0,3,1,1,2020,False
2020-01-03,1,928.06,False,0,4,1,1,2020,False
2020-01-04,1,1153.13,False,0,5,1,1,2020,True
2020-01-05,1,1079.23,False,0,6,1,1,2020,True
2020-01-06,1,902.02,False,0,0,1,1,2020,False
2020-01-07,1,802.37,False,0,1,1,1,2020,False
2020-01-08,1,985.21,False,0,2,1,1,2020,False
2020-01-09,1,920.99,False,0,3,1,1,2020,False
2020-01-10,1,909.95,False,0,4,1,1,2020,False
2020-01-11,1,1110.61,False,0,5,1,1,2020,True
2020-01-12,1,1177.56,False,0,6,1,1,2020,True
2020-01-13,1,967.14,False,0,0,1,1,2020,False
2020-01-14,1,939.88,False,0,1,1,1,2020,False
2020-01-15,1,940.24,False,0,2,1,1,2020,False
2020-01-16,1,1022.21,False,0,3,1,1,2020,False
2020-01-17,1,928.33,False,0,4,1,1,2020,False
2020-01-18,1,1172.65,False,0,5,1,1,2020,True
2020-01-19,1,1174.68,False,0,6,1,1,2020,True
2020-01-20,1,1012.42,False,0,0,1,1,2020,False
2020-01-21,1,1136.34,False,0,1,1,1,2020,False
2020-01-22,1,1061.54,False,0,2,1,1,2020,False
2020-01-23,1,1419.71,False,1,3,1,1,2020,False
2020-01-24,1,1459.0,False,1,4,1,1,2020,False
2020-01-25,1,1167.55,False,0,5,1,1,2020,True
2020-01-26,1,1144.02,False,0,6,1,1,2020,True
2020-01-27,1,956.27,False,0,0,1,1,2020,False
2020-01-28,1,983.82,False,0,1,1,1,2020,False
2020-01-29,1,1061.16,False,0,2,1,1,2020,False
2020-01-30,1,1080.62,False,0,3,1,1,2020,False
2020-01-31,1,1030.01,False,0,4,1,1,2020,False
2020-02-01,1,1222.18,False,0,5,2,1,2020,True
2020-02-02,1,1686.1,False,1,6,2,1,2020,True
2020-02-03,1,1107.51,False,0,0,2,1,2020,False
2020-02-04,1,1115.48,False,0,1,2,1,2020,False
2020-02-05,1,1015.51,False,0,2,2,1,2020,False
2020-02-06,1,1438.13,False,1,3,2,1,2020,False
2020-02-07,1,1064.34,False,0,4,2,1,2020,False
2020-02-08,1,1361.07,False,0,5,2,1,2020,True
2020-02-09,1,1307.69,False,0,6,2,1,2020,True
2020-02-10,1,1059.4,False,0,0,2,1,2020,False
2020-02-11,1,1079.92,False,0,1,2,1,2020,False
2020-02-12,1,1015.61,False,0,2,2,1,2020,False
2020-02-13,1,1142.19,False,0,3,2,1,2020,False
2020-02-14,1,1963.53,True,1,4,2,1,2020,False
2020-02-15,1,1241.6,False,0,5,2,1,2020,True
2020-02-16,1,1309.77,False,0,6,2,1,2020,True
2020-02-17,1,1082.28,False,0,0,2,1,2020,False
2020-02-18,1,1574.69,False,1,1,2,1,2020,False
2020-02-19,1,1611.98,False,1,2,2,1,2020,False
2020-02-20,1,1181.77,False,0,3,2,1,2020,False
2020-02-21,1,1571.51,False,1,4,2,1,2020,False
2020-02-22,1,1330.26,False,0,5,2,1,2020,True
2020-02-23,1,1328.23,False,0,6,2,1,2020,True
2020-02-24,1,992.3,False,0,0,2,1,2020,False
2020-02-25,1,1145.14,False,0,1,2,1,2020,False
2020-02-26,1,1153.26,False,0,2,2,1,2020,False
2020-02-27,1,1124.99,False,0,3,2,1,2020,False
2020-02-28,1,1088.75,False,0,4,2,1,2020,False
2020-02-29,1,1982.79,False,1,5,2,1,2020,True
2020-03-01,1,1915.82,False,1,6,3,1,2020,True
2020-03-02,1,1059.65,False,0,0,3,1,2020,False
2020-03-03,1,1150.78,False,0,1,3,1,2020,False
2020-03-04,1,1126.3,False,0,2,3,1,2020,False
2020-03-05,1,1174.01,False,0,3,3,1,2020,False
2020-03-06,1,1139.3,False,0,4,3,1,2020,False
2020-03-07,1,1402.15,False,0,5,3,1,2020,True
2020-03-08,1,1387.16,False,0,6,3,1,2020,True
2020-03-09,1,1119.41,False,0,0,3,1,2020,False
2020-03-10,1,1198.66,False,0,1,3,1,2020,False
2020-03-11,1,1232.02,False,0,2,3,1,2020,False
2020-03-12,1,1233.05,False,0,3,3,1,2020,False
2020-03-13,1,1140.37,False,0,4,3,1,2020,False
2020-03-14,1,1446.04,False,0,5,3,1,2020,True
2020-03-15,1,1486.95,False,0,6,3,1,2020,True
2020-03-16,1,1213.07,False,0,0,3,1,2020,False
2020-03-17,1,1554.35,True,0,1,3,1,2020,False
2020-03-18,1,1110.76,False,0,2,3,1,2020,False
2020-03-19,1,1204.07,False,0,3,3,1,2020,False
2020-03-20,1,1166.06,False,0,4,3,1,2020,False
2020-03-21,1,1392.27,False,0,5,3,1,2020,True
2020-03-22,1,1439.0,False,0,6,3,1,2020,True
2020-03-23,1,1245.01,False,0,0,3,1,2020,False
2020-03-24,1,1304.52,False,0,1,3,1,2020,False
2020-03-25,1,1106.22,False,0,2,3,1,2020,False
2020-03-26,1,1238.35,False,0,3,3,1,2020,False
2020-03-27,1,1210.2,False,0,4,3,1,2020,False
2020-03-28,1,1476.54,False,0,5,3,1,2020,True
2020-03-29,1,1427.41,False,0,6,3,1,2020,True
2020-03-30,1,1222.71,False,0,0,3,1,2020,False
2020-03-31,1,1189.27,False,0,1,3,1,2020,False
2020-04-01,1,1119.79,False,0,2,4,2,2020,False
2020-04-02,1,1217.37,False,0,3,4,2,2020,False
2020-04-03,1,1132.86,False,0,4,4,2,2020,False
2020-04-04,1,1455.04,False,0,5,4,2,2020,True
2020-04-05,1,1479.69,False,0,6,4,2,2020,True
2020-04-06,1,1136.55,False,0,0,4,2,2020,False
2020-04-07,1,1186.84,False,0,1,4,2,2020,False
2020-04-08,1,1223.02,False,0,2,4,2,2020,False
2020-04-09,1,1166.56,False,0,3,4,2,2020,False
2020-04-10,1,1314.64,False,0,4,4,2,2020,False
2020-04-11,1,1417.35,False,0,5,4,2,2020,True
2020-04-12,1,1363.58,False,0,6,4,2,2020,True
2020-04-13,1,1224.44,False,0,0,4,2,2020,False
2020-04-14,1,1168.43,False,0,1,4,2,2020,False
2020-04-15,1,1680.09,False,1,2,4,2,2020,False
2020-04-16,1,1618.91,False,1,3,4,2,2020,False
2020-04-17,1,1210.2,False,0,4,4,2,2020,False
2020-04-18,1,1919.47,False,1,5,4,2,2020,True
2020-04-19,1,1376.88,False,0,6,4,2,2020,True
2020-04-20,1,1665.81,False,1,0,4,2,2020,False
2020-04-21,1,1254.03,False,0,1,4,2,2020,False
2020-04-22,1,1217.19,False,0,2,4,2,2020,False
2020-04-23,1,1165.26,False,0,3,4,2,2020,False
2020-04-24,1,1113.03,False,0,4,4,2,2020,False
2020-04-25,1,1460.13,False,0,5,4,2,2020,True
2020-04-26,1,1404.03,False,0,6,4,2,2020,True
2020-04-27,1,1630.43,False,1,0,4,2,2020,False
2020-04-28,1,1225.27,False,0,1,4,2,2020,False
2020-04-29,1,1151.69,False,0,2,4,2,2020,False
2020-04-30,1,1160.79,False,0,3,4,2,2020,False
2020-05-01,1,1155.77,False,0,4,5,2,2020,False
2020-05-02,1,1381.85,False,0,5,5,2,2020,True
2020-05-03,1,1327.97,False,0,6,5,2,2020,True
2020-05-04,1,1050.45,False,0,0,5,2,2020,False
2020-05-05,1,1155.25,False,0,1,5,2,2020,False
2020-05-06,1,1090.16,False,0,2,5,2,2020,False
2020-05-07,1,1115.45,False,0,3,5,2,2020,False
2020-05-08,1,1156.97,False,0,4,5,2,2020,False
2020-05-09,1,1288.53,False,0,5,5,2,2020,True
2020-05-10,1,1468.14,False,0,6,5,2,2020,True
2020-05-11,1,1213.19,False,0,0,5,2,2020,False
2020-05-12,1,1118.82,False,0,1,5,2,2020,False
2020-05-13,1,1137.16,False,0,2,5,2,2020,False
2020-05-14,1,1089.75,False,0,3,5,2,2020,False
